OPEID,DisbursementYear,NumReceivingFedLoan,PercentReceivingFedLoan,TotalFedLoanAid,AvgFedLoanAid
298800,2013,1576,38,8634546,5479
4163700,2013,18,38,117523,6529
4130800,2013,24,41,108706,4529
2541900,2013,125,86,272895,2183
163800,2013,829,13,3222059,3887
2137100,2013,66,42,354311,5368
345900,2013,2334,59,15610186,6688
2052200,2013,1003,42,5661744,5645
163900,2013,445,84,2488371,5592
2510600,2013,0,0,0,
539000,2013,1642,55,7596995,4627
1218700,2013,24,77,157581,6566
798700,2013,0,0,0,
3027200,2013,123,95,398000,3236
4003300,2013,367,82,2708504,7380
NULL,2013,NULL,NULL,NULL,
621401,2013,8,100,45787,5723
621402,2013,15,68,100937,6729
621403,2013,127,49,1070327,8428
354900,2013,7267,41,16039683,2207
259700,2013,1744,82,13713795,7863
331500,2013,6301,68,40505133,6428
3783300,2013,153,100,994500,6500
3422601,2013,477,99,2100000,4403
3422501,2013,248,94,1843880,7435
3525300,2013,325,52,2833613,8719
3294301,2013,491,94,2318172,4721
3422600,2013,390,76,3047204,7813
3294300,2013,806,61,5307924,6586
3422500,2013,352,95,2298591,6530
552300,2013,38,83,264359,6957
239800,2013,286,57,1896592,6631
318600,2013,587,20,3890451,6628
3957300,2013,1561,36,9725628,6230
968400,2013,237,10,2739669,11560
681900,2013,885,19,5048397,5704
3925300,2013,161,79,1267096,7870
3704300,2013,39,66,247955,6358
370300,2013,282,34,2596301,9207
380900,2013,1169,60,8201602,7016
524400,2013,5688,43,32299911,5679
301600,2013,852,79,6944869,8151
876400,2013,NULL,NULL,NULL,
342100,2013,1170,39,7024221,6004
NULL,2013,3,1,14185,4728
4172800,2013,71,71,260291,3666
4203200,2013,48,53,343302,7152
2234500,2013,131,66,451674,3448
161600,2013,9518,48,71892088,7553
3763400,2013,131,47,785845,5999
1004300,2013,216,74,1753511,8118
2358500,2013,59,100,217462,3686
NULL,2013,14,42,113451,8104
1302900,2013,118,10,528891,4482
4137200,2013,0,0,0,
NULL,2013,NULL,NULL,NULL,
2055400,2013,4943,62,32651384,6606
396600,2013,359,79,2757528,7681
3248300,2013,66,75,496277,7519
212800,2013,4001,41,22578335,5643
3194300,2013,NULL,NULL,NULL,
213000,2013,7752,42,54967448,7091
